CLASS_NAME CLASS_ID COUNT MIN AVG MAX
bottle 39 60547 0.0 0.448119998775111 0.8432073593139648
refrigerator 72 53460 0.0 0.6101212789587086 0.9628666043281555
cup 41 52126 0.0 0.4086230391255494 0.83537757396698
person 0 48493 0.0 0.8110527903646022 0.9744132161140442
sink 71 47564 0.0 0.5664070926580935 0.9011883735656738
microwave 68 43284 0.0 0.6883879958538157 0.9411017298698425
oven 69 23421 0.0 0.4782864784767867 0.8395834565162659
chair 56 23155 0.0 0.4572538930354015 0.8394743800163269
diningtable 60 16784 0.0 0.533441039919146 0.832995593547821
bowl 45 13533 0.0 0.39615365940143515 0.7946035265922546
pottedplant 58 5352 0.0 0.7903671369056802 0.8599759340286255
toaster 70 4570 0.0 0.39736544403779417 0.7754217386245728
knife 43 3519 0.0 0.31567446381471914 0.47742122411727905
cell-phone 67 1728 0.0 0.35707493693809267 0.5914871692657471
remote 65 972 0.0 0.30920933404699746 0.6529363989830017
book 73 608 0.0 0.3888730550871083 0.5600178241729736
tvmonitor 62 420 0.0 0.3073103136249949 0.5852458477020264
mouse 64 364 0.0 0.34990514954040314 0.5562044978141785
clock 74 277 0.0 0.49297840403735854 0.6262906789779663
vase 75 127 0.0 0.2788881502282902 0.5111160278320312
spoon 44 114 0.0 0.31695477612185896 0.5537084937095642
cat 15 75 0.0 0.5314389336109161 0.8187369704246521
tie 27 69 0.0 0.29885383144668903 0.4528309404850006
toilet 61 69 0.0 0.36400825389917346 0.6273040175437927
handbag 26 55 0.0 0.32073314515027135 0.5517958998680115
train 6 55 0.0 0.33467728983272205 0.7448612451553345
surfboard 37 43 0.0 0.3259477462879447 0.5420880913734436
wine-glass 40 33 0.0 0.3642038314631491 0.5758233070373535
dog 16 23 0.0 0.390281406433686 0.7316305637359619
toothbrush 79 20 0.0 0.30126103311777114 0.41009005904197693
suitcase 28 19 0.0 0.29752835474516215 0.39083439111709595
laptop 63 18 0.0 0.2978283613920212 0.6598914265632629
sports-ball 32 17 0.0 0.36097153845955343 0.4675794541835785
skateboard 36 9 0.0 0.3737294177214305 0.5307760834693909
frisbee 29 8 0.0 0.34912556782364845 0.4693370461463928
apple 47 7 0.0 0.3883793226310185 0.5271754264831543
car 2 6 0.0 0.3610431452592214 0.4109046459197998
backpack 24 6 0.0 0.30877095957597095 0.3928472101688385
orange 49 6 0.0 0.30302428205808 0.3474409878253937
parking-meter 12 5 0.0 0.2926537096500397 0.3435673415660858
hair-drier 78 5 0.0 0.30869439244270325 0.4026166498661041
banana 46 4 0.0 0.2946016788482666 0.31631407141685486
cake 55 3 0.0 0.27665120363235474 0.31608423590660095
bus 5 3 0.0 0.29042460521062213 0.34578758478164673
truck 7 3 0.0 0.3196714719136556 0.39354079961776733
pizza 53 2 0.0 0.392698734998703 0.5211576819419861
tennis-racket 38 2 0.0 0.30961328744888306 0.3226539194583893
fire-hydrant 10 1 0.0 0.28900161385536194 0.28900161385536194
scissors 76 1 0.0 0.3492542803287506 0.3492542803287506
donut 54 1 0.0 0.2778923213481903 0.2778923213481903
bed 59 1 0.0 0.3803418278694153 0.3803418278694153
sandwich 48 1 0.0 0.4476071298122406 0.4476071298122406
sofa 57 1 0.0 0.44152703881263733 0.44152703881263733
aeroplane 4 0 0.0 0.0 0.0
bird 14 0 0.0 0.0 0.0
bench 13 0 0.0 0.0 0.0
stop-sign 11 0 0.0 0.0 0.0
traffic-light 9 0 0.0 0.0 0.0
motorbike 3 0 0.0 0.0 0.0
boat 8 0 0.0 0.0 0.0
bicycle 1 0 0.0 0.0 0.0
broccoli 50 0 0.0 0.0 0.0
keyboard 66 0 0.0 0.0 0.0
giraffe 23 0 0.0 0.0 0.0
horse 17 0 0.0 0.0 0.0
sheep 18 0 0.0 0.0 0.0
cow 19 0 0.0 0.0 0.0
elephant 20 0 0.0 0.0 0.0
bear 21 0 0.0 0.0 0.0
zebra 22 0 0.0 0.0 0.0
umbrella 25 0 0.0 0.0 0.0
carrot 51 0 0.0 0.0 0.0
skis 30 0 0.0 0.0 0.0
snowboard 31 0 0.0 0.0 0.0
kite 33 0 0.0 0.0 0.0
baseball-bat 34 0 0.0 0.0 0.0
baseball-glove 35 0 0.0 0.0 0.0
teddy-bear 77 0 0.0 0.0 0.0
fork 42 0 0.0 0.0 0.0
hot-dog 52 0 0.0 0.0 0.0
