CLASS_NAME CLASS_ID COUNT MIN AVG MAX
chair 56 75557 0.0 0.5809225043353883 0.9457514882087708
book 73 61584 0.0 0.3780584245016192 0.7950266599655151
tvmonitor 62 41921 0.0 0.6631309474923063 0.9277613162994385
person 0 29757 0.0 0.7804739206952227 0.9609362483024597
keyboard 66 17165 0.0 0.545793498293363 0.8841720223426819
laptop 63 16747 0.0 0.4497936959568334 0.8274673223495483
diningtable 60 10060 0.0 0.49083071475474527 0.8518651723861694
cup 41 10015 0.0 0.4418888003630932 0.6990493535995483
mouse 64 9031 0.0 0.4089174573240112 0.7373934984207153
cell-phone 67 6666 0.0 0.4889896715139794 0.8636312484741211
remote 65 4656 0.0 0.34223873409541844 0.717721700668335
bowl 45 1851 0.0 0.2792192580151201 0.36752039194107056
backpack 24 1613 0.0 0.3545801632351113 0.7196547985076904
bottle 39 1600 0.0 0.4084446993842721 0.6813752055168152
sofa 57 1413 0.0 0.5604810162545586 0.7694404125213623
oven 69 626 0.0 0.3091370874700455 0.4903965890407562
toilet 61 194 0.0 0.4801425688045541 0.8784275650978088
bed 59 94 0.0 0.3834024169977675 0.660896360874176
handbag 26 93 0.0 0.32565133033260224 0.6412368416786194
toaster 70 90 0.0 0.26862369378407785 0.3728090524673462
tie 27 76 0.0 0.32696971807040665 0.5592005848884583
refrigerator 72 53 0.0 0.35418946731765316 0.605454683303833
cat 15 44 0.0 0.5080913928422061 0.845441997051239
vase 75 41 0.0 0.2947499853808705 0.42005616426467896
sink 71 30 0.0 0.3120881309111912 0.5395177602767944
skateboard 36 19 0.0 0.3686428885710867 0.5508790016174316
microwave 68 18 0.0 0.2882992674907048 0.32185477018356323
dog 16 17 0.0 0.5010069556096021 0.7515581250190735
bench 13 8 0.0 0.27025388553738594 0.30705466866493225
suitcase 28 7 0.0 0.26893738337925505 0.2886747419834137
knife 43 7 0.0 0.26489168405532837 0.28666335344314575
toothbrush 79 7 0.0 0.29731411167553495 0.34214797616004944
pottedplant 58 3 0.0 0.38809652129809064 0.4467434585094452
frisbee 29 2 0.0 0.2931433171033859 0.3237159252166748
apple 47 0 0.0 0.0 0.0
zebra 22 0 0.0 0.0 0.0
elephant 20 0 0.0 0.0 0.0
cow 19 0 0.0 0.0 0.0
sheep 18 0 0.0 0.0 0.0
horse 17 0 0.0 0.0 0.0
cake 55 0 0.0 0.0 0.0
clock 74 0 0.0 0.0 0.0
bird 14 0 0.0 0.0 0.0
parking-meter 12 0 0.0 0.0 0.0
stop-sign 11 0 0.0 0.0 0.0
fire-hydrant 10 0 0.0 0.0 0.0
traffic-light 9 0 0.0 0.0 0.0
boat 8 0 0.0 0.0 0.0
truck 7 0 0.0 0.0 0.0
train 6 0 0.0 0.0 0.0
bus 5 0 0.0 0.0 0.0
aeroplane 4 0 0.0 0.0 0.0
motorbike 3 0 0.0 0.0 0.0
car 2 0 0.0 0.0 0.0
bicycle 1 0 0.0 0.0 0.0
bear 21 0 0.0 0.0 0.0
giraffe 23 0 0.0 0.0 0.0
banana 46 0 0.0 0.0 0.0
broccoli 50 0 0.0 0.0 0.0
sandwich 48 0 0.0 0.0 0.0
spoon 44 0 0.0 0.0 0.0
orange 49 0 0.0 0.0 0.0
fork 42 0 0.0 0.0 0.0
scissors 76 0 0.0 0.0 0.0
wine-glass 40 0 0.0 0.0 0.0
hair-drier 78 0 0.0 0.0 0.0
tennis-racket 38 0 0.0 0.0 0.0
surfboard 37 0 0.0 0.0 0.0
baseball-glove 35 0 0.0 0.0 0.0
teddy-bear 77 0 0.0 0.0 0.0
baseball-bat 34 0 0.0 0.0 0.0
kite 33 0 0.0 0.0 0.0
carrot 51 0 0.0 0.0 0.0
snowboard 31 0 0.0 0.0 0.0
skis 30 0 0.0 0.0 0.0
hot-dog 52 0 0.0 0.0 0.0
pizza 53 0 0.0 0.0 0.0
donut 54 0 0.0 0.0 0.0
umbrella 25 0 0.0 0.0 0.0
sports-ball 32 0 0.0 0.0 0.0
